학교ID,학교명,학년구분,지역,구군,담당교사,담당교사_연락처,배정앙꼬,배정앙꼬명,총차시,수업요일,수업교시,수업시작일,주차당교시
SCH-001,새빛고등학교,고등,서울,강남구,한수영 선생님,010-6837-7912,ANGKO-02,앙꼬2(현지),4,화요일,1-2교시,2026-03-11,2
SCH-002,한울중학교,중등,서울,서초구,장다은 선생님,010-7865-9928,ANGKO-01,앙꼬1(주영),6,금요일,1-2교시,2026-04-01,2
SCH-003,푸른중학교,중등,서울,강서구,강혜진 선생님,010-3273-4527,ANGKO-02,앙꼬2(현지),6,화요일,6-7교시,2026-04-15,2
SCH-004,햇살특성화고,고등,서울,노원구,강혜진 선생님,010-8611-1711,ANGKO-01,앙꼬1(주영),4,월요일,5-6교시,2026-03-25,2
SCH-005,맑은고등학교,고등,서울,서초구,임다은 선생님,010-7771-2139,ANGKO-02,앙꼬2(현지),4,수요일,5-6교시,2026-04-01,2
SCH-006,큰빛중학교,중등,서울,마포구,조혜진 선생님,010-5714-6977,ANGKO-02,앙꼬2(현지),6,화요일,1-2교시,2026-04-15,2
SCH-007,수정중학교,중등,서울,노원구,장성민 선생님,010-3338-8573,ANGKO-01,앙꼬1(주영),8,월요일,3-4교시,2026-04-08,2
SCH-008,성실중학교,중등,서울,마포구,조혜진 선생님,010-2542-4456,ANGKO-02,앙꼬2(현지),6,월요일,5-6교시,2026-03-11,2
SCH-009,동성특성화고,고등,서울,노원구,정예진 선생님,010-4020-9830,ANGKO-01,앙꼬1(주영),6,목요일,3-4교시,2026-03-25,2
SCH-010,예원중학교,중등,서울,은평구,이지훈 선생님,010-9054-2796,ANGKO-02,앙꼬2(현지),8,화요일,6-7교시,2026-03-11,2
SCH-011,한솔중학교,중등,서울,송파구,장혜진 선생님,010-9955-1188,ANGKO-02,앙꼬2(현지),6,목요일,6-7교시,2026-03-25,2
SCH-012,다온고등학교,고등,서울,서초구,박유진 선생님,010-2026-5315,ANGKO-02,앙꼬2(현지),6,수요일,6-7교시,2026-03-04,2
SCH-013,은하자율형사립고,고등,경기,화성시,박지원 선생님,010-8246-3646,ANGKO-01,앙꼬1(주영),4,수요일,3-4교시,2026-04-15,2
SCH-014,송림중학교,중등,경기,화성시,김현우 선생님,010-9611-6947,ANGKO-03,앙꼬3(나윤),6,수요일,6-7교시,2026-04-01,2
SCH-015,백양고등학교,고등,경기,화성시,이태영 선생님,010-8684-2133,ANGKO-02,앙꼬2(현지),4,화요일,1-2교시,2026-03-04,2
SCH-016,청솔자율형사립고,고등,경기,안양시,정재훈 선생님,010-9900-4470,ANGKO-01,앙꼬1(주영),4,목요일,3-4교시,2026-04-08,2
SCH-017,도담특성화고,고등,경기,화성시,한지원 선생님,010-5588-9479,ANGKO-03,앙꼬3(나윤),4,수요일,6-7교시,2026-04-08,2
